client,available,held,total,locked
1,2611.9006,286.1350,2898.0356,true
2,4002.9056,0.0000,4002.9056,true
3,2482.8773,0.0000,2482.8773,true
4,4621.5015,213.2957,4834.7972,true
5,9414.0116,0.0000,9414.0116,false
6,16832.8680,0.0000,16832.8680,false
7,27627.3363,0.0000,27627.3363,false
8,29041.6421,367.7090,29409.3511,false
9,24601.6624,138.9799,24740.6423,false
10,28270.5616,261.8063,28532.3679,false
11,27597.8554,390.6525,27988.5079,false
12,22755.2089,0.0000,22755.2089,false
13,23053.6376,655.1246,23708.7622,false
14,19058.9587,356.4260,19415.3847,false
15,19747.2214,635.9922,20383.2136,false
16,19698.7069,0.0000,19698.7069,false
17,22107.1851,0.0000,22107.1851,false
18,20866.8923,438.6762,21305.5685,false
19,20083.8902,474.1281,20558.0183,false
20,25491.5452,0.0000,25491.5452,false
