type,client,tx,amount
deposit,1,1,1509.9452
deposit,2,2,1000.1886
deposit,3,3,947.0058
deposit,4,4,1121.0783
deposit,5,5,2399.6936
deposit,6,6,1127.8775
deposit,7,7,1457.6690
deposit,8,8,2210.7716
deposit,9,9,1846.5728
deposit,10,10,2845.9421
deposit,11,11,1723.1874
deposit,12,12,1554.0982
deposit,13,13,2033.0402
deposit,14,14,1041.7308
deposit,15,15,2754.9983
deposit,16,16,1434.9495
deposit,17,17,1470.2796
deposit,18,18,2205.9220
deposit,19,19,880.6913
deposit,20,20,2151.4197
withdrawal,19,21,37.7714
deposit,17,22,286.7330
deposit,13,23,168.9455
withdrawal,1,24,85.4869
deposit,18,25,282.6311
dispute,7,7
withdrawal,2,27,56.0102
withdrawal,6,28,240.1899
deposit,6,29,31.8667
deposit,1,30,289.4989
deposit,14,31,562.6427
deposit,3,32,192.7861
withdrawal,1,33,135.2306
withdrawal,17,34,84.3138
deposit,2,35,271.3539
withdrawal,18,36,330.9279
withdrawal,5,37,376.8342
deposit,16,38,87.2469
deposit,20,39,368.7404
deposit,14,40,66.9251
deposit,5,41,112.7397
withdrawal,6,42,62.4770
resolve,7,7
deposit,16,44,509.2140
withdrawal,4,45,78.4510
dispute,3,32
dispute,1,1
deposit,11,48,232.4148
withdrawal,11,49,157.4463
dispute,12,12
deposit,6,51,554.5913
withdrawal,13,52,95.9329
deposit,8,53,72.3917
deposit,11,54,460.7560
withdrawal,8,55,122.0688
withdrawal,3,56,171.3381
deposit,9,57,306.8589
withdrawal,11,58,215.6314
withdrawal,9,59,353.2237
dispute,14,14
withdrawal,10,61,272.9058
dispute,20,39
withdrawal,7,63,138.0546
withdrawal,7,64,6.7030
deposit,12,65,579.1420
deposit,7,66,475.8006
withdrawal,9,67,298.4914
withdrawal,8,68,344.8996
resolve,12,12
deposit,1,70,305.9772
deposit,7,71,318.0391
dispute,6,29
deposit,7,73,451.6604
withdrawal,14,74,226.3474
resolve,20,39
deposit,7,76,599.7278
deposit,10,77,352.5015
withdrawal,2,78,123.3896
dispute,18,25
deposit,7,80,595.1743
withdrawal,13,81,316.7531
withdrawal,9,82,134.9774
withdrawal,5,83,347.8301
withdrawal,13,84,226.9438
withdrawal,6,85,103.8162
withdrawal,9,86,231.2021
deposit,13,87,497.7326
dispute,16,44
resolve,16,44
resolve,3,32
dispute,15,15
withdrawal,4,92,319.5244
withdrawal,3,93,263.7970
dispute,1,70
resolve,1,70
deposit,14,96,107.9307
deposit,19,97,244.3851
withdrawal,2,98,206.9778
deposit,18,99,103.5249
deposit,15,100,420.3670
deposit,14,101,485.1591
withdrawal,4,102,72.8756
withdrawal,9,103,32.9049
dispute,7,66
dispute,12,12
deposit,4,106,496.7929
dispute,5,41
dispute,2,35
withdrawal,6,109,348.9945
dispute,8,53
deposit,11,111,536.9199
deposit,14,112,191.4046
deposit,4,113,302.9689
deposit,17,114,146.3456
deposit,4,115,344.3814
deposit,20,116,527.0973
deposit,6,117,466.6866
deposit,12,118,194.9038
resolve,2,35
deposit,1,120,569.6680
deposit,5,121,529.7640
deposit,18,122,181.1604
withdrawal,16,123,321.6396
withdrawal,2,124,69.7620
withdrawal,11,125,267.2764
withdrawal,2,126,326.4862
deposit,20,127,333.3061
resolve,1,1
withdrawal,13,129,207.3475
deposit,8,130,319.2305
deposit,2,131,152.6415
deposit,9,132,507.6968
withdrawal,4,133,6.7060
deposit,1,134,87.7356
resolve,6,29
deposit,2,136,118.1093
deposit,14,137,11.8996
dispute,2,131
deposit,15,139,107.7254
withdrawal,8,140,176.6931
dispute,16,16
dispute,12,65
resolve,8,53
resolve,7,66
dispute,14,40
deposit,6,146,290.4964
deposit,8,147,506.1317
deposit,9,148,394.3691
dispute,17,17
deposit,8,150,319.4492
withdrawal,14,151,212.1273
deposit,3,152,157.7935
withdrawal,19,153,200.8000
deposit,4,154,566.5500
deposit,14,155,195.9627
resolve,2,131
deposit,6,157,541.1344
deposit,9,158,350.5800
deposit,10,159,438.1578
deposit,4,160,213.2957
resolve,5,41
deposit,17,162,126.8872
deposit,2,163,219.4201
dispute,5,41
deposit,13,165,221.7138
withdrawal,11,166,101.7581
resolve,5,41
deposit,1,168,113.8060
withdrawal,8,169,250.1886
deposit,3,170,266.0927
deposit,14,171,418.2064
withdrawal,12,172,85.4716
dispute,13,87
withdrawal,11,174,324.3178
dispute,9,57
deposit,3,176,139.6266
dispute,11,11
deposit,9,178,376.5953
deposit,8,179,270.9363
dispute,15,100
deposit,20,181,55.8055
deposit,13,182,445.2474
withdrawal,10,183,307.0040
withdrawal,15,184,86.5659
resolve,11,11
dispute,20,20
withdrawal,10,187,311.1814
dispute,3,152
withdrawal,15,189,10.4698
deposit,20,190,420.9496
dispute,2,35
withdrawal,5,192,80.9872
dispute,19,19
deposit,1,194,481.6120
deposit,7,195,403.9823
deposit,4,196,598.4034
deposit,10,197,504.3643
deposit,10,198,426.3415
deposit,4,199,506.7229
withdrawal,14,200,254.5651
deposit,3,201,569.6736
deposit,10,202,510.8355
deposit,6,203,439.2899
resolve,2,35
withdrawal,9,205,159.5071
dispute,10,197
dispute,7,71
deposit,15,208,305.0617
withdrawal,6,209,116.8757
