type,client,tx,amount
deposit,1,1,1509.9452
withdrawal,1,24,85.4869
dispute,1,24,
dispute,1,1,
resolve,1,24,
deposit,1,118,569.6680
resolve,1,1,
deposit,1,132,87.7356
deposit,1,165,113.8060
deposit,1,188,342.2312
deposit,1,192,481.6120
withdrawal,1,216,39.9271
dispute,1,165,
withdrawal,1,267,85.0004
deposit,1,289,321.8548
deposit,1,293,332.6972
deposit,1,309,394.9222
deposit,1,332,282.1552
resolve,1,165,
withdrawal,1,342,16.3293
withdrawal,1,345,286.1350
withdrawal,1,358,129.1805
dispute,1,345,
deposit,1,413,237.2422
dispute,1,118,
resolve,1,118,
withdrawal,1,509,210.9548
withdrawal,1,546,16.8999
dispute,1,413,
deposit,1,583,337.0585
withdrawal,1,586,138.8483
withdrawal,1,593,339.3559
withdrawal,1,643,225.6317
withdrawal,1,657,363.5241
resolve,1,413,
withdrawal,1,787,135.6915
dispute,1,216,
chargeback,1,216,
deposit,1,847,27.6365
deposit,1,885,4.5398
deposit,1,905,44.5644
deposit,1,933,46.5043
deposit,1,951,45.8197
deposit,1,955,40.2568
deposit,1,975,49.4292
deposit,1,990,31.0519
deposit,1,996,45.4949
deposit,1,1026,17.7558
deposit,1,1035,47.0517
deposit,1,1041,27.1711
deposit,1,1042,19.8304
deposit,1,1061,14.4373
deposit,1,1063,18.4615
deposit,1,1147,10.2172
deposit,1,1166,26.1886
deposit,1,1178,34.7469
deposit,1,1182,45.5233
deposit,1,1184,13.4171
deposit,1,1195,9.4156
deposit,1,1220,42.1101
deposit,1,1235,46.6252
deposit,1,1245,30.9339
deposit,1,1271,4.4638
deposit,1,1295,8.9067
deposit,1,1335,11.4915
deposit,1,1354,6.0139
deposit,1,1410,34.8638
deposit,1,1414,19.1680
deposit,1,1439,21.3575
deposit,1,1463,48.0647
deposit,1,1493,23.8315
deposit,1,1498,37.4684
deposit,1,1563,16.2341
deposit,1,1579,37.5248
deposit,1,1611,45.5422
deposit,1,1676,46.8682
deposit,1,1691,9.1151
deposit,1,1695,32.3161
deposit,1,1718,24.7764
deposit,1,1750,2.5624
deposit,1,1781,48.9795
deposit,1,1796,17.0041
deposit,1,1806,8.9515
deposit,1,1836,36.0453
deposit,1,1854,17.2755
deposit,1,1860,2.2986
deposit,1,1885,43.4035
deposit,1,1890,8.6227
deposit,1,1951,47.7179
deposit,1,1963,38.9651
deposit,1,1967,48.3276
deposit,1,1977,4.5927
deposit,1,2015,3.1425
deposit,1,2020,29.9802
deposit,1,2021,5.9759
deposit,1,2051,28.2066
deposit,1,2084,16.2455
deposit,1,2106,12.1586
deposit,1,2164,44.6625
deposit,1,2166,11.8705
deposit,1,2178,23.9299
deposit,1,2225,44.7057
deposit,1,2249,4.3484
deposit,1,2269,21.2414
deposit,1,2276,44.2501
deposit,1,2289,37.7743
deposit,1,2303,44.8265
deposit,1,2310,40.3429
deposit,1,2312,25.5560
deposit,1,2364,35.1522
deposit,1,2390,12.7955
deposit,1,2396,28.6562
deposit,1,2407,35.6320
deposit,1,2410,12.5492
deposit,1,2419,15.6399
deposit,1,2488,17.6288
deposit,1,2528,29.3884
deposit,1,2539,32.3646
deposit,1,2541,31.2771
deposit,1,2559,23.2689
deposit,1,2580,39.6207
deposit,1,2596,33.2883
deposit,1,2632,47.7187
deposit,1,2641,5.8271
deposit,1,2654,42.8199
deposit,1,2696,30.9607
deposit,1,2716,44.7716
deposit,1,2728,37.2838
deposit,1,2794,20.3069
deposit,1,2802,24.0999
deposit,1,2841,25.0390
deposit,1,2867,9.1381
deposit,1,2894,46.1115
deposit,1,2916,45.8809
deposit,1,2939,48.1531
deposit,1,2947,47.6589
deposit,1,2978,7.1661
deposit,1,2981,14.0877
deposit,1,2993,8.5790
deposit,1,3001,5.3914
deposit,1,3067,48.2887
deposit,1,3068,30.7741
deposit,1,3072,23.5387
deposit,1,3135,32.3618
deposit,1,3164,12.4700
deposit,1,3181,5.3567
deposit,1,3211,18.5469
deposit,1,3218,32.8173
deposit,1,3222,3.1479
deposit,1,3227,48.0965
deposit,1,3264,48.6138
deposit,1,3271,19.6502
deposit,1,3300,3.8122
deposit,1,3306,13.7787
deposit,1,3353,36.7908
deposit,1,3368,21.5519
deposit,1,3388,6.6810
deposit,1,3397,6.0927
deposit,1,3402,41.3280
deposit,1,3418,11.6792
deposit,1,3426,39.2578
deposit,1,3503,13.7857
deposit,1,3567,31.2908
deposit,1,3586,30.1035
deposit,1,3596,14.7809
deposit,1,3712,27.9603
deposit,1,3733,49.2536
deposit,1,3771,1.2375
deposit,1,3777,9.8144
deposit,1,3806,24.1094
deposit,1,3810,37.2203
deposit,1,3854,34.4436
deposit,1,3876,3.3850
deposit,1,3914,11.9926
deposit,1,3919,40.2969
deposit,1,3922,49.7209
deposit,1,3930,26.4924
deposit,1,4063,15.0458
deposit,1,4108,12.8977
deposit,1,4133,26.5803
deposit,1,4175,28.8057
deposit,1,4189,29.5380
deposit,1,4202,48.1278
deposit,1,4205,36.7507
deposit,1,4263,10.9200
deposit,1,4303,49.4574
deposit,1,4329,23.1163
deposit,1,4344,28.4694
deposit,1,4372,10.5784
deposit,1,4418,47.3955
deposit,1,4437,27.8480
deposit,1,4439,23.6459
deposit,1,4463,45.0089
deposit,1,4477,33.2228
deposit,1,4494,3.1170
deposit,1,4505,25.1165
deposit,1,4557,13.4838
deposit,1,4560,12.2881
deposit,1,4568,13.6882
deposit,1,4579,45.5870
deposit,1,4598,12.9041
deposit,1,4599,44.7515
deposit,1,4609,7.8419
deposit,1,4613,32.0227
deposit,1,4638,35.6488
deposit,1,4642,12.4933
deposit,1,4643,7.9560
deposit,1,4714,27.9083
deposit,1,4720,8.1733
deposit,1,4747,1.8311
deposit,1,4753,14.2223
deposit,1,4759,11.9061
deposit,1,4766,41.4649
deposit,1,4829,49.5674
deposit,1,4868,36.3002
deposit,1,4876,21.4642
deposit,1,4880,21.0756
deposit,1,4934,37.0262
deposit,1,4966,28.6530
deposit,1,4980,43.4316
deposit,1,4994,19.3248
